words,tag
Payment,O
Complete,O
form,O
on,O
reverse,O
side,O
Pledge,O
a,O
donation,O
to,O
MEAF,O
Complete,O
form,O
on,O
reverse,O
side,O
Account,O
#,O
92990-35018,O
877-432-9384,O
Please,O
pay,O
this,O
amount,O
by,O
06/18/2018,O
"$17,657.53",O
Payment,O
Amount,O
$,O
,O
929903501801000000081690000001,O
Pay,O
by,O
phone,O
a,O
convenience,O
fee,O
will,O
apply,O
($2.35,O
fee),O
10101010101010101010,O
11001000000000010101,O
10000001010111111000,O
10101101001010111011,O
10100100101010101010,O
10000110110000010011,O
10001111001010110000,O
10001011011000101101,O
10110010100100101000,O
11110111000100001001,O
10010101011011000110,O
11100010000100110001,O
11110010101011011000,O
10011011010001010111,O
11111111110110110110,O
11000110101011001001,O
11000100100011001110,O
11000010011010111101,O
10001000100001101010,O
11111111111111111111,O
88,O
01,O
-3,O
3-,O
01,O
00,O
37,O
6-,O
00,O
01,O
-0,O
00,O
05,O
94,O
0100376,O
01,O
AB,O
0.405,O
**AUTO,O
T1,O
0,O
8801,O
19428-415400,O
-C33-B1-P00376-I,O
FAFATFTDTDTFFTFDDTDFTTAFATAATDAFFTDTFTFADAFFAAFDDFADADAFFFTAATTTF,O
100,O
AIRPORT,O
KPG,O
III,O
LLC,O
1010101010101010101011001000000000010101,O
10001001010111111000,O
10100001001010110011,O
10000010101010110110,O
10001110110001110111,O
10011111001011011100,O
10001011011101001011,O
10110010100000000010,O
11110111001000100001,O
10010101000101000110,O
11100010100111101001,O
11110010010010101100,O
10011101011100100111,O
11111111100001100010,O
11011011000010111001,O
11011110110010111000,O
11011111111001111101,O
10001010000001111010,O
11111111111111111111,O
125,O
E,O
ELM,O
ST,O
STE,O
400,O
CONSHOHOCKEN,O
PA,O
19428-4154,O
TFDDTFDFDTFFFTFDFAFATDDATFTDFFTDFDTDTADTTTDATATFTAAATFATAADTTTAFT,O
PECO,O
-,O
Payment,O
Processing,O
PO,O
Box,O
37632,O
Philadelphia,O
PA,O
19101-0629,O
PO#16299,O
PSTRM::PDF(F),O
PX(D),O
MT(,O
),O
MP(0),O
FILE=6R596F-7ACF-1GEJA3-B1.pdf,O
Page,O
2,O
of,O
2,O
Account,O
Number,O
92990-35018,O
Online,O
peco.com,O
In,O
Person,O
2301,O
Market,O
St,O
Philadelphia,O
PA,O
19103,O
By,O
Phone,O
215-841-5527,O
3,O
Meter,O
Information,O
Read,O
Dates,O
Meter,O
Number,O
Load,O
Type,O
Reading,O
Type,O
Meter,O
Reading,O
Previous,O
Present,O
Difference,O
Multiplier,O
X,O
Total,O
Usage,O
04/17-05/16,O
021583162,O
General,O
Service,O
Power,O
Factor,O
Actual,O
Actual,O
0.9777,O
1,O
0.978,O
04/17-05/16,O
021583162,O
General,O
Service,O
Pk,O
kW,O
Actual,O
Actual,O
0.3960,O
"1,200",O
475.20,O
04/17-05/16,O
021583162,O
General,O
Service,O
Tot,O
kWh,O
Actual,O
Actual,O
183.1200,O
"1,200",O
"219,744",O
04/17-05/16,O
021583162,O
General,O
Service,O
GS,O
Off,O
Pk,O
kW,O
Actual,O
Actual,O
0.3560,O
"1,200",O
427.20,O
04/17-05/16,O
021583162,O
General,O
Service,O
On,O
Pk,O
Kw,O
Actual,O
Actual,O
0.3960,O
"1,200",O
475.20,O
Distribution,O
kW,O
-,O
Measured,O
,O
475.0,O
Total,O
kWh,O
Used,O
"219,744",O
Electric,O
High,O
Tension,O
Service,O
>500kW,O
Service,O
Period,O
04/17/2018,O
to,O
05/16/2018,O
-,O
29,O
days,O
PECO,O
ELECTRIC,O
DELIVERY,O
"$2,752.75",O
Customer,O
Charge,O
299.78,O
Distribution,O
Charges,O
475,O
kW,O
X,O
4.77000,O
"2,265.75",O
Distribution,O
Charges,O
"219,744",O
kWh,O
X,O
-0.00100,O
-219.74,O
Distribution,O
System,O
Improvement,O
Charge,O
13.98,O
Energy,O
Eff,O
&,O
Nonbypassable,O
Trans,O
401,O
kW,O
X,O
0.98000,O
392.98,O
ELECTRIC,O
SUPPLY,O
"$14,739.91",O
Hudson,O
Energy,O
Charges,O
(877-483-7669),O
ADJUSTMENT,O
-0.01,O
ENERGY,O
CHARGE,O
219744,O
KH,O
*,O
$0.0595/KH,O
"13,074.77",O
Gross,O
Receipts,O
Tax,O
819.80,O
Sales,O
Tax,O
845.35,O
TAXES,O
&,O
FEES,O
$164.87,O
State,O
Tax,O
Adjustment,O
-0.28,O
Sales,O
Tax,O
165.15,O
Total,O
Current,O
Charges,O
"$17,657.53",O
Message,O
Center,O
From,O
PECO,O
5.90%,O
estimated,O
Gross,O
Receipts,O
Tax,O
of,O
$982.20,O
included,O
in,O
new,O
charges,O
Your,O
estimated,O
electric,O
price,O
to,O
compare,O
adder,O
is,O
$0.00823,O
per,O
kWh,O
which,O
includes,O
ancillary,O
charges,O
and,O
the,O
purchased,O
generation,O
adjustment,O
but,O
excludes,O
energy,O
and,O
capacity,O
This,O
may,O
change,O
monthly,O
For,O
more,O
information,O
and,O
supplier,O
offers,O
visit,O
PAPowerSwitch.com,O
Shopping,O
Information,O
Box,O
When,O
shopping,O
for,O
a,O
competitive,O
electric/natural,O
gas,O
supplier,O
please,O
provide,O
the,O
following,O
Account,O
Number,O
92990-35018,O
Electric,O
Rate:Electric,O
High,O
Tension,O
Service,O
>500kW,O
If,O
you,O
are,O
purchasing,O
the,O
energy,O
you,O
use,O
from,O
a,O
competitive,O
supplier,O
it,O
is,O
important,O
to,O
understand,O
the,O
terms,O
of,O
your,O
contract,O
and,O
expiration,O
date,O
10101010101010101010,O
11001000000000010101,O
10000001010111111000,O
10101101001010111011,O
10100100101010101010,O
10000110110000010011,O
10001111001010110000,O
10001011011000101101,O
10110010100100101000,O
11110111000100001001,O
10010101011011000110,O
11100010000100110001,O
11110010101011011000,O
10011011010001010111,O
11111111110110110110,O
11000110101011001001,O
11000100100011001110,O
11000010011010111101,O
10001000100001101010,O
11111111111111111111,O
88,O
01,O
-3,O
3-,O
01,O
00,O
37,O
6-,O
00,O
01,O
-0,O
00,O
05,O
94,O
PO#16299,O
PSTRM::PDF(F),O
PX(D),O
MT(,O
),O
MP(0),O
FILE=6R596F-7ACF-1GEJA3-B1.pdf,O
